filepath,label,subset,sample
images/test_mf1/(cali.) 20150212 HXND 2-3 (1)_06122.png,0,test_mf1,(cali.) 20150212 HXND 2-3 (1)
images/test_mf1/(cali.) 20150212 HXND 2-3 (1)_06996.png,0,test_mf1,(cali.) 20150212 HXND 2-3 (1)
images/test_mf1/(cali.) 20150212 HXND 2-3 (1)_09470.png,0,test_mf1,(cali.) 20150212 HXND 2-3 (1)
images/test_mf1/(cali.) 20150212 HXND 2-3 (1)_12063.png,0,test_mf1,(cali.) 20150212 HXND 2-3 (1)
images/test_mf1/(cali.) 20150212 HXND 2-3 (2)_00702.png,0,test_mf1,(cali.) 20150212 HXND 2-3 (2)
images/test_mf1/(cali.) 20150212 HXND 2-3 (2)_00819.png,0,test_mf1,(cali.) 20150212 HXND 2-3 (2)
images/test_mf1/(cali.) 20150212 HXND 2-3 (2)_00820.png,0,test_mf1,(cali.) 20150212 HXND 2-3 (2)
images/test_mf1/(cali.) 20150212 HXND 2-3 (2)_01041.png,0,test_mf1,(cali.) 20150212 HXND 2-3 (2)
images/test_mf1/(cali.) 20150212 HXND 2-3 (2)_01146.png,0,test_mf1,(cali.) 20150212 HXND 2-3 (2)
images/test_mf1/(cali.) 20150212 HXND 2-3 (2)_03094.png,0,test_mf1,(cali.) 20150212 HXND 2-3 (2)
images/test_mf1/(cali.) 20150212 HXND 2-3 (2)_04958.png,0,test_mf1,(cali.) 20150212 HXND 2-3 (2)
images/test_mf1/(cali.) 20150212 HXND 2-3 (2)_05062.png,0,test_mf1,(cali.) 20150212 HXND 2-3 (2)
images/test_mf1/(cali.) 20150212 HXND 2-3 (2)_05545.png,0,test_mf1,(cali.) 20150212 HXND 2-3 (2)
images/test_mf1/(cali.) 20150212 HXND 2-3 (1)_05130.png,1,test_mf1,(cali.) 20150212 HXND 2-3 (1)
images/test_mf1/(cali.) 20150212 HXND 2-3 (1)_05132.png,1,test_mf1,(cali.) 20150212 HXND 2-3 (1)
images/test_mf1/(cali.) 20150212 HXND 2-3 (1)_05133.png,1,test_mf1,(cali.) 20150212 HXND 2-3 (1)
images/test_mf1/(cali.) 20150212 HXND 2-3 (1)_05135.png,1,test_mf1,(cali.) 20150212 HXND 2-3 (1)
images/test_mf1/(cali.) 20150212 HXND 2-3 (1)_05136.png,1,test_mf1,(cali.) 20150212 HXND 2-3 (1)
images/test_mf1/(cali.) 20150212 HXND 2-3 (1)_05137.png,1,test_mf1,(cali.) 20150212 HXND 2-3 (1)
